date,heure_debut,heure_fin,titre,description,lieu,prix,modalites,type
2025-12-14,14:00,16:00,Visite de Saint Nicolas et Père Noël + goûter,Infos supplémentaires très bientôt,Club,,,evenement
2025-11-15,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-11-09,10:00,18:00,Initiation au secourisme canin,,Club,,,formation
2025-11-08,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-10-31,18:00,22:00,Balade contée Halloween + souper,Balade contée concours de déguisements chasse au trésor… À 20h souper soupe potiron-lardons et/ou soupe à l'oignon fromage croutons,Club,souper & balade : 8€/pers balade seule : 3€/chien,Réservation et paiement avant le 22 octobre 19h dans les locaux du club.,evenement
2025-10-18,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-10-04,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-09-20,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-09-06,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-08-16,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-08-02,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-07-27,09:00,17:00,Test de sociabilité (TS),Test de sociabilité + grand BBQ annuel du Club,Club,TS: 12€/chien Assiette BBQ 2 viandes + crudités + pain et pdt : 15€,Le test est accessible aux chiens de 9 mois accomplis. Inscriptions auprès de Dany. Réservations et paiements repas pour le 19/7 !,test
2025-07-19,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
